seq us class
2118885444 1767 1
2118885461 1767 1
2118885498 1767 1
2118885499 1767 1
2118924919 1736 1
2118924929 1736 1
2118924930 1736 1
2118924935 1736 1
2118924948 1736 1
2118924949 1736 1
2118924950 1736 1
2118924951 1736 1
2118924952 1736 1
2118924953 1736 1
2118924969 1736 1
2118924988 1736 1
2118924989 1736 1
2118924992 1736 1
2118924993 1736 1
2118925014 1736 1
2118925015 1736 1
2118925023 1736 1
2118925024 1736 1
2118925032 1736 1
2118925033 1736 1
2118925037 1736 1
2118925038 1736 1
2118925045 1736 1
2118925046 1736 1
2118925048 1736 1
2118925052 1736 1
2118925053 1736 1
2118925063 1736 1
2118925064 1736 1
2118925113 1736 1
2118925114 1736 1
2118925128 1736 1
2118925129 1736 1
2118925134 1736 1
2118925141 1736 1
2118925142 1736 1
2118925164 1736 1
2118925165 1736 1
2118925170 1735 10
2118925171 1735 10
2118925173 1735 10
2118925174 1735 10
2118925182 1735 10
2118925183 1735 10
2118925195 1735 10
2118925196 1735 10
2118925233 1735 10
2118925234 1735 10
2118925236 1735 10
2118925237 1735 10
2118925260 1735 10
2118925318 1735 10
2118925319 1735 10
2118925354 1735 10
2118925355 1735 10
2118925362 1735 10
2118925363 1735 10
2118925366 1735 10
2118925367 1735 10
2118925369 1735 10
2118925370 1735 10
2118925373 1735 10
2118925374 1735 10
2118925378 1735 10
2118925379 1735 10
2118925385 1735 10
2118925386 1735 10
2118925400 1735 10
2118925401 1735 10
2118925403 1735 10
2118925404 1735 10
2118925686 1733 1
2118925699 1733 1
2118925700 1733 1
2118925701 1733 1
2118925702 1733 1
2118925711 1733 1
2118925735 1733 1
2118925736 1733 1
2118925742 1733 1
2118925752 1733 1
2118925759 1733 1
2118925760 1733 1
2118925761 1733 1
2118925762 1733 1
2118925765 1733 1
2118925766 1733 1
2118925769 1733 1
2118925770 1733 1
2118925773 1733 1
2118925774 1733 1
2118925785 1733 1
2118925788 1733 1
2118925791 1733 1
